Year,State,ST Name,Religion,Persons,Male,Female,Persons (Rural),Male (Rural),Female (Rural),Persons (Urban),Male (Urban),Female (Urban)
"2,001",WEST BENGAL,Bhumij,Other religions and persuasions,"2,087","1,058","1,029","2,060","1,041","1,019",27,17,10
"2,001",WEST BENGAL,Bhumij,Religion not stated,306,152,154,291,144,147,15,8,7
"2,001",WEST BENGAL,Bhutia etc.,All religions,"60,091","30,055","30,036","39,632","19,753","19,879","20,459","10,302","10,157"
"2,001",WEST BENGAL,Bhutia etc.,Hindu,"6,305","3,193","3,112","4,516","2,282","2,234","1,789",911,878
"2,001",WEST BENGAL,Bhutia etc.,Muslim,220,109,111,79,42,37,141,67,74
"2,001",WEST BENGAL,Bhutia etc.,Christian,"2,128","1,032","1,096","1,553",766,787,575,266,309
"2,001",WEST BENGAL,Bhutia etc.,Sikh,12,7,5,10,6,4,2,1,1
"2,001",WEST BENGAL,Bhutia etc.,Buddhist,"51,365","25,685","25,680","33,427","16,636","16,791","17,938","9,049","8,889"
"2,001",WEST BENGAL,Bhutia etc.,Jain,6,3,3,5,2,3,1,1,0
"2,001",WEST BENGAL,Bhutia etc.,Other religions and persuasions,43,20,23,34,15,19,9,5,4
"2,001",WEST BENGAL,Bhutia etc.,Religion not stated,12,6,6,8,4,4,4,2,2
"2,001",WEST BENGAL,Birhor,All religions,"1,017",501,516,927,452,475,90,49,41
"2,001",WEST BENGAL,Birhor,Hindu,992,491,501,909,444,465,83,47,36
"2,001",WEST BENGAL,Birhor,Muslim,1,1,0,1,1,0,0,0,0
"2,001",WEST BENGAL,Birhor,Christian,8,3,5,1,1,0,7,2,5
"2,001",WEST BENGAL,Birhor,Buddhist,6,3,3,6,3,3,0,0,0
"2,001",WEST BENGAL,Birhor,Other religions and persuasions,10,3,7,10,3,7,0,0,0
"2,001",WEST BENGAL,Birjia,All religions,"1,654",831,823,"1,383",681,702,271,150,121
"2,001",WEST BENGAL,Birjia,Hindu,"1,591",802,789,"1,320",652,668,271,150,121
"2,001",WEST BENGAL,Birjia,Muslim,1,1,0,1,1,0,0,0,0
"2,001",WEST BENGAL,Birjia,Christian,35,14,21,35,14,21,0,0,0
"2,001",WEST BENGAL,Birjia,Buddhist,9,4,5,9,4,5,0,0,0
"2,001",WEST BENGAL,Birjia,Other religions and persuasions,18,10,8,18,10,8,0,0,0
"2,001",WEST BENGAL,Chakma,All religions,642,401,241,488,322,166,154,79,75
"2,001",WEST BENGAL,Chakma,Hindu,196,107,89,102,56,46,94,51,43
"2,001",WEST BENGAL,Chakma,Muslim,3,2,1,2,2,0,1,0,1
"2,001",WEST BENGAL,Chakma,Christian,6,4,2,0,0,0,6,4,2
"2,001",WEST BENGAL,Chakma,Buddhist,436,287,149,383,263,120,53,24,29
"2,001",WEST BENGAL,Chakma,Religion not stated,1,1,0,1,1,0,0,0,0
"2,001",WEST BENGAL,Chero,All religions,"1,968","1,017",951,"1,313",678,635,655,339,316
"2,001",WEST BENGAL,Chero,Hindu,"1,782",931,851,"1,143",598,545,639,333,306
"2,001",WEST BENGAL,Chero,Muslim,129,62,67,124,60,64,5,2,3
"2,001",WEST BENGAL,Chero,Christian,47,21,26,44,20,24,3,1,2
"2,001",WEST BENGAL,Chero,Sikh,1,0,1,1,0,1,0,0,0
"2,001",WEST BENGAL,Chero,Buddhist,8,3,5,0,0,0,8,3,5
"2,001",WEST BENGAL,Chero,Other religions and persuasions,1,0,1,1,0,1,0,0,0
"2,001",WEST BENGAL,Chik Baraik,All religions,"17,824","8,931","8,893","17,420","8,716","8,704",404,215,189
"2,001",WEST BENGAL,Chik Baraik,Hindu,"17,471","8,765","8,706","17,085","8,556","8,529",386,209,177
"2,001",WEST BENGAL,Chik Baraik,Muslim,28,15,13,28,15,13,0,0,0
"2,001",WEST BENGAL,Chik Baraik,Christian,269,126,143,251,120,131,18,6,12
"2,001",WEST BENGAL,Chik Baraik,Sikh,1,0,1,1,0,1,0,0,0
"2,001",WEST BENGAL,Chik Baraik,Buddhist,16,8,8,16,8,8,0,0,0
"2,001",WEST BENGAL,Chik Baraik,Jain,5,2,3,5,2,3,0,0,0
"2,001",WEST BENGAL,Chik Baraik,Other religions and persuasions,27,10,17,27,10,17,0,0,0
"2,001",WEST BENGAL,Chik Baraik,Religion not stated,7,5,2,7,5,2,0,0,0
"2,001",WEST BENGAL,Garo,All religions,"1,915",932,983,"1,636",790,846,279,142,137
"2,001",WEST BENGAL,Garo,Hindu,622,317,305,428,216,212,194,101,93
"2,001",WEST BENGAL,Garo,Muslim,22,10,12,11,3,8,11,7,4
"2,001",WEST BENGAL,Garo,Christian,"1,241",591,650,"1,167",557,610,74,34,40
"2,001",WEST BENGAL,Garo,Buddhist,7,3,4,7,3,4,0,0,0
"2,001",WEST BENGAL,Garo,Other religions and persuasions,5,3,2,5,3,2,0,0,0
"2,001",WEST BENGAL,Garo,Religion not stated,18,8,10,18,8,10,0,0,0
"2,001",WEST BENGAL,Gond,All religions,"9,826","5,293","4,533","4,587","2,331","2,256","5,239","2,962","2,277"
"2,001",WEST BENGAL,Gond,Hindu,"9,730","5,248","4,482","4,536","2,303","2,233","5,194","2,945","2,249"
"2,001",WEST BENGAL,Gond,Muslim,15,7,8,2,1,1,13,6,7
"2,001",WEST BENGAL,Gond,Christian,46,23,23,28,16,12,18,7,11
"2,001",WEST BENGAL,Gond,Buddhist,3,2,1,2,1,1,1,1,0
"2,001",WEST BENGAL,Gond,Other religions and persuasions,32,13,19,19,10,9,13,3,10
"2,001",WEST BENGAL,Gorait,All religions,"1,436",746,690,"1,297",678,619,139,68,71
"2,001",WEST BENGAL,Gorait,Hindu,"1,432",744,688,"1,297",678,619,135,66,69
"2,001",WEST BENGAL,Gorait,Christian,4,2,2,0,0,0,4,2,2
"2,001",WEST BENGAL,Hajang,All religions,597,334,263,370,198,172,227,136,91
"2,001",WEST BENGAL,Hajang,Hindu,574,320,254,351,186,165,223,134,89
"2,001",WEST BENGAL,Hajang,Muslim,15,10,5,15,10,5,0,0,0
"2,001",WEST BENGAL,Hajang,Christian,4,2,2,0,0,0,4,2,2
"2,001",WEST BENGAL,Hajang,Religion not stated,4,2,2,4,2,2,0,0,0
"2,001",WEST BENGAL,Ho,All religions,"15,540","7,687","7,853","14,506","7,155","7,351","1,034",532,502
"2,001",WEST BENGAL,Ho,Hindu,"14,966","7,391","7,575","14,033","6,912","7,121",933,479,454
"2,001",WEST BENGAL,Ho,Muslim,17,8,9,14,7,7,3,1,2
"2,001",WEST BENGAL,Ho,Christian,91,46,45,32,16,16,59,30,29
"2,001",WEST BENGAL,Ho,Buddhist,5,3,2,1,1,0,4,2,2
"2,001",WEST BENGAL,Ho,Other religions and persuasions,392,207,185,357,187,170,35,20,15
"2,001",WEST BENGAL,Ho,Religion not stated,69,32,37,69,32,37,0,0,0
"2,001",WEST BENGAL,Karmali,All religions,"1,317",704,613,"1,094",587,507,223,117,106
"2,001",WEST BENGAL,Karmali,Hindu,"1,145",611,534,926,496,430,219,115,104
"2,001",WEST BENGAL,Karmali,Muslim,5,3,2,1,1,0,4,2,2
"2,001",WEST BENGAL,Karmali,Christian,10,6,4,10,6,4,0,0,0
"2,001",WEST BENGAL,Karmali,Other religions and persuasions,157,84,73,157,84,73,0,0,0
"2,001",WEST BENGAL,Kharwar,All religions,"17,625","9,027","8,598","15,539","7,924","7,615","2,086","1,103",983
"2,001",WEST BENGAL,Kharwar,Hindu,"17,378","8,906","8,472","15,325","7,818","7,507","2,053","1,088",965
"2,001",WEST BENGAL,Kharwar,Muslim,47,19,28,38,17,21,9,2,7
"2,001",WEST BENGAL,Kharwar,Christian,143,71,72,119,58,61,24,13,11
"2,001",WEST BENGAL,Kharwar,Buddhist,5,4,1,5,4,1,0,0,0
"2,001",WEST BENGAL,Kharwar,Other religions and persuasions,52,27,25,52,27,25,0,0,0
"2,001",WEST BENGAL,Khond,All religions,226,123,103,184,96,88,42,27,15
"2,001",WEST BENGAL,Khond,Hindu,218,119,99,177,93,84,41,26,15
"2,001",WEST BENGAL,Khond,Christian,2,1,1,1,0,1,1,1,0
"2,001",WEST BENGAL,Khond,Religion not stated,6,3,3,6,3,3,0,0,0
"2,001",WEST BENGAL,Kisan,All religions,"4,788","2,473","2,315","3,203","1,617","1,586","1,585",856,729
"2,001",WEST BENGAL,Kisan,Hindu,"4,638","2,385","2,253","3,078","1,547","1,531","1,560",838,722
"2,001",WEST BENGAL,Kisan,Muslim,12,10,2,1,1,0,11,9,2
"2,001",WEST BENGAL,Kisan,Christian,112,58,54,104,54,50,8,4,4
"2,001",WEST BENGAL,Kisan,Sikh,2,1,1,1,0,1,1,1,0
"2,001",WEST BENGAL,Kisan,Buddhist,17,13,4,17,13,4,0,0,0
"2,001",WEST BENGAL,Kisan,Religion not stated,7,6,1,2,2,0,5,4,1
"2,001",WEST BENGAL,Kora,All religions,"142,789","71,785","71,004","128,719","64,610","64,109","14,070","7,175","6,895"
"2,001",WEST BENGAL,Kora,Hindu,"138,391","69,591","68,800","124,478","62,489","61,989","13,913","7,102","6,811"
"2,001",WEST BENGAL,Kora,Muslim,297,151,146,263,137,126,34,14,20
"2,001",WEST BENGAL,Kora,Christian,"1,640",807,833,"1,588",781,807,52,26,26
"2,001",WEST BENGAL,Kora,Sikh,30,18,12,21,12,9,9,6,3
"2,001",WEST BENGAL,Kora,Buddhist,5,1,4,5,1,4,0,0,0
"2,001",WEST BENGAL,Kora,Jain,1,0,1,1,0,1,0,0,0
"2,001",WEST BENGAL,Kora,Other religions and persuasions,"2,267","1,135","1,132","2,205","1,108","1,097",62,27,35
"2,001",WEST BENGAL,Kora,Religion not stated,158,82,76,158,82,76,0,0,0
"2,001",WEST BENGAL,Korwa,All religions,"5,371","2,748","2,623","4,723","2,420","2,303",648,328,320
"2,001",WEST BENGAL,Korwa,Hindu,"5,223","2,668","2,555","4,580","2,343","2,237",643,325,318
"2,001",WEST BENGAL,Korwa,Muslim,29,15,14,29,15,14,0,0,0
"2,001",WEST BENGAL,Korwa,Christian,107,56,51,107,56,51,0,0,0
"2,001",WEST BENGAL,Korwa,Buddhist,6,5,1,2,2,0,4,3,1
"2,001",WEST BENGAL,Korwa,Other religions and persuasions,1,0,1,0,0,0,1,0,1
"2,001",WEST BENGAL,Korwa,Religion not stated,5,4,1,5,4,1,0,0,0
"2,001",WEST BENGAL,Lepcha,All religions,"32,377","16,343","16,034","28,470","14,489","13,981","3,907","1,854","2,053"
"2,001",WEST BENGAL,Lepcha,Hindu,"2,271","1,125","1,146","1,743",867,876,528,258,270
"2,001",WEST BENGAL,Lepcha,Muslim,177,92,85,141,76,65,36,16,20
"2,001",WEST BENGAL,Lepcha,Christian,"13,580","6,779","6,801","11,729","5,950","5,779","1,851",829,"1,022"
"2,001",WEST BENGAL,Lepcha,Sikh,8,4,4,3,1,2,5,3,2
"2,001",WEST BENGAL,Lepcha,Buddhist,"16,313","8,331","7,982","14,829","7,585","7,244","1,484",746,738
"2,001",WEST BENGAL,Lepcha,Jain,5,2,3,5,2,3,0,0,0
"2,001",WEST BENGAL,Lepcha,Other religions and persuasions,11,4,7,10,3,7,1,1,0
"2,001",WEST BENGAL,Lepcha,Religion not stated,12,6,6,10,5,5,2,1,1
"2,001",WEST BENGAL,Lodha etc.,All religions,"84,966","43,121","41,845","82,761","42,002","40,759","2,205","1,119","1,086"
"2,001",WEST BENGAL,Lodha etc.,Hindu,"73,134","37,193","35,941","71,246","36,242","35,004","1,888",951,937
"2,001",WEST BENGAL,Lodha etc.,Muslim,229,114,115,213,104,109,16,10,6
"2,001",WEST BENGAL,Lodha etc.,Christian,"11,073","5,546","5,527","10,787","5,397","5,390",286,149,137
"2,001",WEST BENGAL,Lodha etc.,Sikh,1,1,0,1,1,0,0,0,0
"2,001",WEST BENGAL,Lodha etc.,Buddhist,79,42,37,71,37,34,8,5,3
"2,001",WEST BENGAL,Lodha etc.,Jain,1,0,1,1,0,1,0,0,0
"2,001",WEST BENGAL,Lodha etc.,Other religions and persuasions,350,174,176,344,171,173,6,3,3
"2,001",WEST BENGAL,Lodha etc.,Religion not stated,99,51,48,98,50,48,1,1,0
"2,001",WEST BENGAL,Lohara etc.,All religions,"20,683","10,315","10,368","16,535","8,236","8,299","4,148","2,079","2,069"
"2,001",WEST BENGAL,Lohara etc.,Hindu,"17,238","8,650","8,588","14,367","7,172","7,195","2,871","1,478","1,393"
"2,001",WEST BENGAL,Lohara etc.,Muslim,46,22,24,29,13,16,17,9,8
"2,001",WEST BENGAL,Lohara etc.,Christian,"1,240",596,644,873,441,432,367,155,212
"2,001",WEST BENGAL,Lohara etc.,Buddhist,"2,018",979,"1,039","1,174",566,608,844,413,431
"2,001",WEST BENGAL,Lohara etc.,Other religions and persuasions,117,60,57,89,43,46,28,17,11
"2,001",WEST BENGAL,Lohara etc.,Religion not stated,24,8,16,3,1,2,21,7,14
"2,001",WEST BENGAL,Magh,All religions,"8,214","4,168","4,046","2,358","1,187","1,171","5,856","2,981","2,875"
"2,001",WEST BENGAL,Magh,Hindu,"1,686",846,840,"1,097",561,536,589,285,304
"2,001",WEST BENGAL,Magh,Muslim,35,15,20,5,3,2,30,12,18
"2,001",WEST BENGAL,Magh,Christian,29,13,16,19,7,12,10,6,4
"2,001",WEST BENGAL,Magh,Sikh,4,1,3,2,1,1,2,0,2
"2,001",WEST BENGAL,Magh,Buddhist,"6,450","3,284","3,166","1,233",614,619,"5,217","2,670","2,547"
"2,001",WEST BENGAL,Magh,Jain,10,9,1,2,1,1,8,8,0
"2,001",WEST BENGAL,Mahali,All religions,"76,102","38,426","37,676","68,366","34,461","33,905","7,736","3,965","3,771"
"2,001",WEST BENGAL,Mahali,Hindu,"71,743","36,277","35,466","64,191","32,411","31,780","7,552","3,866","3,686"
"2,001",WEST BENGAL,Mahali,Muslim,171,83,88,138,63,75,33,20,13
"2,001",WEST BENGAL,Mahali,Christian,"2,717","1,336","1,381","2,588","1,267","1,321",129,69,60
"2,001",WEST BENGAL,Mahali,Sikh,1,0,1,0,0,0,1,0,1
"2,001",WEST BENGAL,Mahali,Buddhist,18,10,8,17,10,7,1,0,1
"2,001",WEST BENGAL,Mahali,Other religions and persuasions,"1,423",710,713,"1,405",701,704,18,9,9
"2,001",WEST BENGAL,Mahali,Religion not stated,29,10,19,27,9,18,2,1,1
"2,001",WEST BENGAL,Mahli,All religions,"1,831",960,871,"1,506",790,716,325,170,155
"2,001",WEST BENGAL,Mahli,Hindu,"1,766",927,839,"1,441",757,684,325,170,155
"2,001",WEST BENGAL,Mahli,Muslim,2,1,1,2,1,1,0,0,0
"2,001",WEST BENGAL,Mahli,Christian,40,22,18,40,22,18,0,0,0
"2,001",WEST BENGAL,Mahli,Other religions and persuasions,23,10,13,23,10,13,0,0,0
"2,001",WEST BENGAL,Mal Pahariya,All religions,"37,440","18,712","18,728","35,298","17,664","17,634","2,142","1,048","1,094"
"2,001",WEST BENGAL,Mal Pahariya,Hindu,"36,434","18,225","18,209","34,545","17,290","17,255","1,889",935,954
"2,001",WEST BENGAL,Mal Pahariya,Muslim,331,152,179,118,57,61,213,95,118
"2,001",WEST BENGAL,Mal Pahariya,Christian,392,193,199,366,183,183,26,10,16
"2,001",WEST BENGAL,Mal Pahariya,Sikh,6,3,3,5,2,3,1,1,0
"2,001",WEST BENGAL,Mal Pahariya,Buddhist,22,9,13,9,2,7,13,7,6
"2,001",WEST BENGAL,Mal Pahariya,Other religions and persuasions,126,69,57,126,69,57,0,0,0
"2,001",WEST BENGAL,Mal Pahariya,Religion not stated,129,61,68,129,61,68,0,0,0
"2,001",WEST BENGAL,Mech,All religions,"35,996","18,148","17,848","34,991","17,633","17,358","1,005",515,490
"2,001",WEST BENGAL,Mech,Hindu,"23,252","11,783","11,469","22,542","11,410","11,132",710,373,337
"2,001",WEST BENGAL,Mech,Muslim,116,55,61,112,53,59,4,2,2
"2,001",WEST BENGAL,Mech,Christian,"12,564","6,275","6,289","12,281","6,141","6,140",283,134,149
"2,001",WEST BENGAL,Mech,Buddhist,63,34,29,55,28,27,8,6,2
"2,001",WEST BENGAL,Mech,Other religions and persuasions,1,1,0,1,1,0,0,0,0
"2,001",WEST BENGAL,Mru,All religions,271,137,134,149,76,73,122,61,61
"2,001",WEST BENGAL,Mru,Hindu,259,133,126,144,74,70,115,59,56
"2,001",WEST BENGAL,Mru,Christian,12,4,8,5,2,3,7,2,5
"2,001",WEST BENGAL,Munda,All religions,"341,542","172,436","169,106","324,124","163,637","160,487","17,418","8,799","8,619"
"2,001",WEST BENGAL,Munda,Hindu,"309,194","156,351","152,843","294,602","148,947","145,655","14,592","7,404","7,188"
"2,001",WEST BENGAL,Munda,Muslim,867,445,422,758,389,369,109,56,53
"2,001",WEST BENGAL,Munda,Christian,"26,402","13,110","13,292","24,043","11,953","12,090","2,359","1,157","1,202"
"2,001",WEST BENGAL,Munda,Sikh,41,21,20,23,10,13,18,11,7
"2,001",WEST BENGAL,Munda,Buddhist,164,82,82,132,67,65,32,15,17
"2,001",WEST BENGAL,Munda,Jain,44,24,20,31,16,15,13,8,5
"2,001",WEST BENGAL,Munda,Other religions and persuasions,"4,525","2,255","2,270","4,282","2,128","2,154",243,127,116
"2,001",WEST BENGAL,Munda,Religion not stated,305,148,157,253,127,126,52,21,31
"2,001",WEST BENGAL,Nagesia,All religions,"8,373","4,263","4,110","8,072","4,099","3,973",301,164,137
"2,001",WEST BENGAL,Nagesia,Hindu,"8,148","4,141","4,007","7,881","3,997","3,884",267,144,123
"2,001",WEST BENGAL,Nagesia,Muslim,4,3,1,4,3,1,0,0,0
"2,001",WEST BENGAL,Nagesia,Christian,196,105,91,165,86,79,31,19,12
"2,001",WEST BENGAL,Nagesia,Buddhist,14,7,7,11,6,5,3,1,2
"2,001",WEST BENGAL,Nagesia,Religion not stated,11,7,4,11,7,4,0,0,0
"2,001",WEST BENGAL,Oraon,All religions,"617,138","312,543","304,595","587,868","297,434","290,434","29,270","15,109","14,161"
"2,001",WEST BENGAL,Oraon,Hindu,"493,836","250,944","242,892","471,703","239,551","232,152","22,133","11,393","10,740"
"2,001",WEST BENGAL,Oraon,Muslim,"4,471","2,262","2,209","4,020","2,032","1,988",451,230,221
"2,001",WEST BENGAL,Oraon,Christian,"109,905","54,767","55,138","103,652","51,512","52,140","6,253","3,255","2,998"
"2,001",WEST BENGAL,Oraon,Sikh,72,36,36,53,28,25,19,8,11
"2,001",WEST BENGAL,Oraon,Buddhist,839,432,407,829,426,403,10,6,4
"2,001",WEST BENGAL,Oraon,Jain,26,15,11,25,14,11,1,1,0
"2,001",WEST BENGAL,Oraon,Other religions and persuasions,"7,617","3,903","3,714","7,240","3,701","3,539",377,202,175
"2,001",WEST BENGAL,Oraon,Religion not stated,372,184,188,346,170,176,26,14,12
"2,001",WEST BENGAL,Parhaiya,All religions,688,341,347,560,282,278,128,59,69
"2,001",WEST BENGAL,Parhaiya,Hindu,680,339,341,560,282,278,120,57,63
"2,001",WEST BENGAL,Parhaiya,Christian,5,2,3,0,0,0,5,2,3
"2,001",WEST BENGAL,Parhaiya,Buddhist,3,0,3,0,0,0,3,0,3
"2,001",WEST BENGAL,Rabha,All religions,"15,014","7,640","7,374","14,820","7,523","7,297",194,117,77
"2,001",WEST BENGAL,Rabha,Hindu,"9,711","4,974","4,737","9,535","4,867","4,668",176,107,69
"2,001",WEST BENGAL,Rabha,Muslim,46,17,29,46,17,29,0,0,0
"2,001",WEST BENGAL,Rabha,Christian,"4,723","2,385","2,338","4,705","2,375","2,330",18,10,8
"2,001",WEST BENGAL,Rabha,Buddhist,385,193,192,385,193,192,0,0,0
"2,001",WEST BENGAL,Rabha,Jain,134,63,71,134,63,71,0,0,0
"2,001",WEST BENGAL,Rabha,Other religions and persuasions,5,3,2,5,3,2,0,0,0
"2,001",WEST BENGAL,Rabha,Religion not stated,10,5,5,10,5,5,0,0,0
"2,001",WEST BENGAL,Santal,All religions,"2,280,540","1,147,655","1,132,885","2,163,044","1,087,385","1,075,659","117,496","60,270","57,226"
"2,001",WEST BENGAL,Santal,Hindu,"1,470,559","740,844","729,715","1,372,643","690,556","682,087","97,916","50,288","47,628"
"2,001",WEST BENGAL,Santal,Muslim,"5,490","2,854","2,636","5,138","2,659","2,479",352,195,157
"2,001",WEST BENGAL,Santal,Christian,"74,844","37,415","37,429","69,208","34,661","34,547","5,636","2,754","2,882"
"2,001",WEST BENGAL,Santal,Sikh,531,264,267,438,215,223,93,49,44
"2,001",WEST BENGAL,Santal,Buddhist,300,150,150,284,141,143,16,9,7
"2,001",WEST BENGAL,Santal,Jain,109,53,56,98,48,50,11,5,6
"2,001",WEST BENGAL,Santal,Other religions and persuasions,"722,457","362,945","359,512","709,724","356,352","353,372","12,733","6,593","6,140"
"2,001",WEST BENGAL,Santal,Religion not stated,"6,250","3,130","3,120","5,511","2,753","2,758",739,377,362
"2,001",WEST BENGAL,Sauria Paharia,All religions,"2,332","1,194","1,138","2,142","1,102","1,040",190,92,98
"2,001",WEST BENGAL,Sauria Paharia,Hindu,"2,223","1,140","1,083","2,058","1,059",999,165,81,84
"2,001",WEST BENGAL,Sauria Paharia,Muslim,12,5,7,12,5,7,0,0,0
"2,001",WEST BENGAL,Sauria Paharia,Christian,74,40,34,72,38,34,2,2,0
"2,001",WEST BENGAL,Sauria Paharia,Buddhist,23,9,14,0,0,0,23,9,14
"2,001",WEST BENGAL,Savar,All religions,"43,599","22,041","21,558","42,458","21,424","21,034","1,141",617,524
"2,001",WEST BENGAL,Savar,Hindu,"42,402","21,428","20,974","41,294","20,833","20,461","1,108",595,513
"2,001",WEST BENGAL,Savar,Muslim,58,32,26,49,24,25,9,8,1
"2,001",WEST BENGAL,Savar,Christian,250,128,122,237,119,118,13,9,4
"2,001",WEST BENGAL,Savar,Buddhist,4,1,3,4,1,3,0,0,0
"2,001",WEST BENGAL,Savar,Jain,1,0,1,1,0,1,0,0,0
"2,001",WEST BENGAL,Savar,Other religions and persuasions,675,338,337,674,338,336,1,0,1
"2,001",WEST BENGAL,Savar,Religion not stated,209,114,95,199,109,90,10,5,5
"2,001",WEST BENGAL,Generic Tribes etc.,All religions,"106,915","54,636","52,279","90,275","45,970","44,305","16,640","8,666","7,974"
"2,001",WEST BENGAL,Generic Tribes etc.,Hindu,"97,575","49,988","47,587","82,760","42,236","40,524","14,815","7,752","7,063"
"2,001",WEST BENGAL,Generic Tribes etc.,Muslim,484,233,251,328,153,175,156,80,76
"2,001",WEST BENGAL,Generic Tribes etc.,Christian,"4,011","1,961","2,050","3,277","1,612","1,665",734,349,385
"2,001",WEST BENGAL,Generic Tribes etc.,Sikh,33,20,13,11,6,5,22,14,8
"2,001",WEST BENGAL,Generic Tribes etc.,Buddhist,"1,567",816,751,"1,055",550,505,512,266,246
"2,001",WEST BENGAL,Generic Tribes etc.,Jain,1,1,0,0,0,0,1,1,0
"2,001",WEST BENGAL,Generic Tribes etc.,Other religions and persuasions,"3,012","1,504","1,508","2,673","1,328","1,345",339,176,163
"2,001",WEST BENGAL,Generic Tribes etc.,Religion not stated,232,113,119,171,85,86,61,28,33
