Year,State,District,ST Name,Religion,Persons,Male,Female,Persons (Rural),Male (Rural),Female (Rural),Persons (Urban),Male (Urban),Female (Urban)
2011,WEST BENGAL,Darjiling,Chik Baraik,All religions,"3,678","1,799","1,879","3,587","1,752","1,835",91,47,44
2011,WEST BENGAL,Darjiling,Chik Baraik,Hindu,"3,323","1,634","1,689","3,238","1,591","1,647",85,43,42
2011,WEST BENGAL,Darjiling,Chik Baraik,Muslim,3,2,1,2,1,1,1,1,0
2011,WEST BENGAL,Darjiling,Chik Baraik,Christian,278,123,155,273,120,153,5,3,2
2011,WEST BENGAL,Darjiling,Chik Baraik,Sikh,4,3,1,4,3,1,0,0,0
2011,WEST BENGAL,Darjiling,Chik Baraik,Buddhist,1,1,0,1,1,0,0,0,0
2011,WEST BENGAL,Darjiling,Chik Baraik,Jain,1,1,0,1,1,0,0,0,0
2011,WEST BENGAL,Darjiling,Chik Baraik,Other religions and persuasions,67,34,33,67,34,33,0,0,0
2011,WEST BENGAL,Darjiling,Chik Baraik,Religion not stated,1,1,0,1,1,0,0,0,0
2011,WEST BENGAL,Darjiling,Garo,All religions,41,19,22,22,10,12,19,9,10
2011,WEST BENGAL,Darjiling,Garo,Hindu,28,13,15,18,8,10,10,5,5
2011,WEST BENGAL,Darjiling,Garo,Muslim,5,2,3,4,2,2,1,0,1
2011,WEST BENGAL,Darjiling,Garo,Christian,8,4,4,0,0,0,8,4,4
2011,WEST BENGAL,Darjiling,Gond,All religions,929,469,460,854,424,430,75,45,30
2011,WEST BENGAL,Darjiling,Gond,Hindu,911,459,452,845,420,425,66,39,27
2011,WEST BENGAL,Darjiling,Gond,Muslim,1,1,0,1,1,0,0,0,0
2011,WEST BENGAL,Darjiling,Gond,Christian,8,3,5,8,3,5,0,0,0
2011,WEST BENGAL,Darjiling,Gond,Buddhist,8,5,3,0,0,0,8,5,3
2011,WEST BENGAL,Darjiling,Gond,Jain,1,1,0,0,0,0,1,1,0
2011,WEST BENGAL,Darjiling,Gorait,All religions,42,19,23,32,15,17,10,4,6
2011,WEST BENGAL,Darjiling,Gorait,Hindu,42,19,23,32,15,17,10,4,6
2011,WEST BENGAL,Darjiling,Hajang,All religions,29,19,10,4,3,1,25,16,9
2011,WEST BENGAL,Darjiling,Hajang,Hindu,27,17,10,4,3,1,23,14,9
2011,WEST BENGAL,Darjiling,Hajang,Muslim,2,2,0,0,0,0,2,2,0
2011,WEST BENGAL,Darjiling,Ho,All religions,855,442,413,813,423,390,42,19,23
2011,WEST BENGAL,Darjiling,Ho,Hindu,611,314,297,583,303,280,28,11,17
2011,WEST BENGAL,Darjiling,Ho,Muslim,10,5,5,10,5,5,0,0,0
2011,WEST BENGAL,Darjiling,Ho,Christian,25,12,13,18,7,11,7,5,2
2011,WEST BENGAL,Darjiling,Ho,Buddhist,202,107,95,195,104,91,7,3,4
2011,WEST BENGAL,Darjiling,Ho,Other religions and persuasions,6,4,2,6,4,2,0,0,0
2011,WEST BENGAL,Darjiling,Ho,Religion not stated,1,0,1,1,0,1,0,0,0
2011,WEST BENGAL,Darjiling,Karmali,All religions,103,49,54,67,30,37,36,19,17
2011,WEST BENGAL,Darjiling,Karmali,Hindu,101,48,53,67,30,37,34,18,16
2011,WEST BENGAL,Darjiling,Karmali,Christian,2,1,1,0,0,0,2,1,1
2011,WEST BENGAL,Darjiling,Kharwar,All religions,"1,083",541,542,"1,024",511,513,59,30,29
2011,WEST BENGAL,Darjiling,Kharwar,Hindu,955,479,476,897,450,447,58,29,29
2011,WEST BENGAL,Darjiling,Kharwar,Muslim,2,1,1,1,0,1,1,1,0
2011,WEST BENGAL,Darjiling,Kharwar,Christian,122,59,63,122,59,63,0,0,0
2011,WEST BENGAL,Darjiling,Kharwar,Other religions and persuasions,3,2,1,3,2,1,0,0,0
2011,WEST BENGAL,Darjiling,Kharwar,Religion not stated,1,0,1,1,0,1,0,0,0
2011,WEST BENGAL,Darjiling,Khond,All religions,52,29,23,51,28,23,1,1,0
2011,WEST BENGAL,Darjiling,Khond,Hindu,52,29,23,51,28,23,1,1,0
2011,WEST BENGAL,Darjiling,Kisan,All religions,"2,106","1,043","1,063","2,067","1,018","1,049",39,25,14
2011,WEST BENGAL,Darjiling,Kisan,Hindu,"2,014","1,000","1,014","1,976",975,"1,001",38,25,13
2011,WEST BENGAL,Darjiling,Kisan,Muslim,1,0,1,1,0,1,0,0,0
2011,WEST BENGAL,Darjiling,Kisan,Christian,77,38,39,76,38,38,1,0,1
2011,WEST BENGAL,Darjiling,Kisan,Sikh,1,0,1,1,0,1,0,0,0
2011,WEST BENGAL,Darjiling,Kisan,Jain,1,1,0,1,1,0,0,0,0
2011,WEST BENGAL,Darjiling,Kisan,Other religions and persuasions,11,4,7,11,4,7,0,0,0
2011,WEST BENGAL,Darjiling,Kisan,Religion not stated,1,0,1,1,0,1,0,0,0
2011,WEST BENGAL,Darjiling,Kora,All religions,103,52,51,93,47,46,10,5,5
2011,WEST BENGAL,Darjiling,Kora,Hindu,74,39,35,67,35,32,7,4,3
2011,WEST BENGAL,Darjiling,Kora,Christian,29,13,16,26,12,14,3,1,2
2011,WEST BENGAL,Darjiling,Korwa,All religions,659,326,333,624,307,317,35,19,16
2011,WEST BENGAL,Darjiling,Korwa,Hindu,617,304,313,582,285,297,35,19,16
2011,WEST BENGAL,Darjiling,Korwa,Christian,42,22,20,42,22,20,0,0,0
2011,WEST BENGAL,Darjiling,Lepcha,All religions,"32,862","16,602","16,260","28,630","14,632","13,998","4,232","1,970","2,262"
2011,WEST BENGAL,Darjiling,Lepcha,Hindu,"1,111",458,653,842,325,517,269,133,136
2011,WEST BENGAL,Darjiling,Lepcha,Muslim,67,30,37,48,19,29,19,11,8
2011,WEST BENGAL,Darjiling,Lepcha,Christian,"15,043","7,567","7,476","12,910","6,591","6,319","2,133",976,"1,157"
2011,WEST BENGAL,Darjiling,Lepcha,Sikh,15,8,7,15,8,7,0,0,0
2011,WEST BENGAL,Darjiling,Lepcha,Buddhist,"16,548","8,501","8,047","14,751","7,656","7,095","1,797",845,952
2011,WEST BENGAL,Darjiling,Lepcha,Jain,28,16,12,21,13,8,7,3,4
2011,WEST BENGAL,Darjiling,Lepcha,Other religions and persuasions,15,10,5,15,10,5,0,0,0
2011,WEST BENGAL,Darjiling,Lepcha,Religion not stated,35,12,23,28,10,18,7,2,5
2011,WEST BENGAL,Darjiling,"Lodha,  Kheria,  Kharia",All religions,"2,516","1,219","1,297","2,407","1,165","1,242",109,54,55
2011,WEST BENGAL,Darjiling,"Lodha,  Kheria,  Kharia",Hindu,914,459,455,825,415,410,89,44,45
2011,WEST BENGAL,Darjiling,"Lodha,  Kheria,  Kharia",Muslim,71,32,39,71,32,39,0,0,0
2011,WEST BENGAL,Darjiling,"Lodha,  Kheria,  Kharia",Christian,"1,525",725,800,"1,508",716,792,17,9,8
2011,WEST BENGAL,Darjiling,"Lodha,  Kheria,  Kharia",Sikh,1,1,0,1,1,0,0,0,0
2011,WEST BENGAL,Darjiling,"Lodha,  Kheria,  Kharia",Buddhist,3,1,2,1,0,1,2,1,1
2011,WEST BENGAL,Darjiling,"Lodha,  Kheria,  Kharia",Jain,1,0,1,0,0,0,1,0,1
2011,WEST BENGAL,Darjiling,"Lodha,  Kheria,  Kharia",Religion not stated,1,1,0,1,1,0,0,0,0
2011,WEST BENGAL,Darjiling,"Lohara,  Lohra",All religions,670,338,332,642,328,314,28,10,18
2011,WEST BENGAL,Darjiling,"Lohara,  Lohra",Hindu,611,312,299,585,304,281,26,8,18
2011,WEST BENGAL,Darjiling,"Lohara,  Lohra",Muslim,1,1,0,0,0,0,1,1,0
2011,WEST BENGAL,Darjiling,"Lohara,  Lohra",Christian,50,19,31,49,18,31,1,1,0
2011,WEST BENGAL,Darjiling,"Lohara,  Lohra",Buddhist,1,1,0,1,1,0,0,0,0
2011,WEST BENGAL,Darjiling,"Lohara,  Lohra",Other religions and persuasions,7,5,2,7,5,2,0,0,0
2011,WEST BENGAL,Darjiling,Magh,All religions,157,85,72,21,10,11,136,75,61
2011,WEST BENGAL,Darjiling,Magh,Hindu,86,48,38,13,7,6,73,41,32
2011,WEST BENGAL,Darjiling,Magh,Buddhist,71,37,34,8,3,5,63,34,29
2011,WEST BENGAL,Darjiling,Mahali,All religions,"1,278",628,650,"1,089",527,562,189,101,88
2011,WEST BENGAL,Darjiling,Mahali,Hindu,"1,084",526,558,900,429,471,184,97,87
2011,WEST BENGAL,Darjiling,Mahali,Muslim,9,5,4,9,5,4,0,0,0
2011,WEST BENGAL,Darjiling,Mahali,Christian,179,94,85,174,90,84,5,4,1
2011,WEST BENGAL,Darjiling,Mahali,Sikh,1,1,0,1,1,0,0,0,0
2011,WEST BENGAL,Darjiling,Mahali,Buddhist,1,0,1,1,0,1,0,0,0
2011,WEST BENGAL,Darjiling,Mahali,Other religions and persuasions,3,2,1,3,2,1,0,0,0
2011,WEST BENGAL,Darjiling,Mahali,Religion not stated,1,0,1,1,0,1,0,0,0
2011,WEST BENGAL,Darjiling,Mahli,All religions,144,78,66,134,73,61,10,5,5
2011,WEST BENGAL,Darjiling,Mahli,Hindu,127,68,59,117,63,54,10,5,5
2011,WEST BENGAL,Darjiling,Mahli,Christian,12,6,6,12,6,6,0,0,0
2011,WEST BENGAL,Darjiling,Mahli,Other religions and persuasions,5,4,1,5,4,1,0,0,0
2011,WEST BENGAL,Darjiling,Mal Pahariya,All religions,"2,550","1,269","1,281","2,438","1,210","1,228",112,59,53
2011,WEST BENGAL,Darjiling,Mal Pahariya,Hindu,"2,418","1,215","1,203","2,306","1,156","1,150",112,59,53
2011,WEST BENGAL,Darjiling,Mal Pahariya,Muslim,1,1,0,1,1,0,0,0,0
2011,WEST BENGAL,Darjiling,Mal Pahariya,Christian,125,49,76,125,49,76,0,0,0
2011,WEST BENGAL,Darjiling,Mal Pahariya,Buddhist,1,0,1,1,0,1,0,0,0
2011,WEST BENGAL,Darjiling,Mal Pahariya,Other religions and persuasions,5,4,1,5,4,1,0,0,0
2011,WEST BENGAL,Darjiling,Mech,All religions,"2,508","1,266","1,242","2,278","1,154","1,124",230,112,118
2011,WEST BENGAL,Darjiling,Mech,Hindu,"2,461","1,242","1,219","2,246","1,136","1,110",215,106,109
2011,WEST BENGAL,Darjiling,Mech,Christian,39,23,16,29,17,12,10,6,4
2011,WEST BENGAL,Darjiling,Mech,Sikh,1,0,1,1,0,1,0,0,0
2011,WEST BENGAL,Darjiling,Mech,Buddhist,6,0,6,1,0,1,5,0,5
2011,WEST BENGAL,Darjiling,Mech,Jain,1,1,0,1,1,0,0,0,0
2011,WEST BENGAL,Darjiling,Mru,All religions,1,1,0,0,0,0,1,1,0
2011,WEST BENGAL,Darjiling,Mru,Hindu,1,1,0,0,0,0,1,1,0
2011,WEST BENGAL,Darjiling,Munda,All religions,"18,307","9,070","9,237","17,431","8,654","8,777",876,416,460
2011,WEST BENGAL,Darjiling,Munda,Hindu,"13,193","6,543","6,650","12,629","6,282","6,347",564,261,303
2011,WEST BENGAL,Darjiling,Munda,Muslim,41,23,18,41,23,18,0,0,0
2011,WEST BENGAL,Darjiling,Munda,Christian,"4,871","2,396","2,475","4,592","2,257","2,335",279,139,140
2011,WEST BENGAL,Darjiling,Munda,Sikh,8,6,2,1,1,0,7,5,2
2011,WEST BENGAL,Darjiling,Munda,Buddhist,39,16,23,16,7,9,23,9,14
2011,WEST BENGAL,Darjiling,Munda,Jain,2,0,2,1,0,1,1,0,1
2011,WEST BENGAL,Darjiling,Munda,Other religions and persuasions,138,74,64,138,74,64,0,0,0
2011,WEST BENGAL,Darjiling,Munda,Religion not stated,15,12,3,13,10,3,2,2,0
2011,WEST BENGAL,Darjiling,Nagesia,All religions,"3,814","1,893","1,921","3,724","1,843","1,881",90,50,40
2011,WEST BENGAL,Darjiling,Nagesia,Hindu,"3,517","1,740","1,777","3,436","1,696","1,740",81,44,37
2011,WEST BENGAL,Darjiling,Nagesia,Muslim,6,3,3,6,3,3,0,0,0
2011,WEST BENGAL,Darjiling,Nagesia,Christian,283,143,140,274,137,137,9,6,3
2011,WEST BENGAL,Darjiling,Nagesia,Sikh,4,4,0,4,4,0,0,0,0
2011,WEST BENGAL,Darjiling,Nagesia,Buddhist,2,1,1,2,1,1,0,0,0
2011,WEST BENGAL,Darjiling,Nagesia,Jain,1,1,0,1,1,0,0,0,0
2011,WEST BENGAL,Darjiling,Nagesia,Religion not stated,1,1,0,1,1,0,0,0,0
2011,WEST BENGAL,Darjiling,Oraon,All religions,"72,487","35,543","36,944","69,674","34,163","35,511","2,813","1,380","1,433"
2011,WEST BENGAL,Darjiling,Oraon,Hindu,"32,638","16,115","16,523","31,322","15,468","15,854","1,316",647,669
2011,WEST BENGAL,Darjiling,Oraon,Muslim,156,72,84,141,63,78,15,9,6
2011,WEST BENGAL,Darjiling,Oraon,Christian,"39,255","19,146","20,109","37,788","18,427","19,361","1,467",719,748
2011,WEST BENGAL,Darjiling,Oraon,Sikh,31,15,16,31,15,16,0,0,0
2011,WEST BENGAL,Darjiling,Oraon,Buddhist,40,17,23,35,17,18,5,0,5
2011,WEST BENGAL,Darjiling,Oraon,Jain,3,2,1,2,1,1,1,1,0
2011,WEST BENGAL,Darjiling,Oraon,Other religions and persuasions,290,136,154,290,136,154,0,0,0
2011,WEST BENGAL,Darjiling,Oraon,Religion not stated,74,40,34,65,36,29,9,4,5
2011,WEST BENGAL,Darjiling,Parhaiya,All religions,14,7,7,14,7,7,0,0,0
2011,WEST BENGAL,Darjiling,Parhaiya,Hindu,14,7,7,14,7,7,0,0,0
2011,WEST BENGAL,Darjiling,Rabha,All religions,44,29,15,17,11,6,27,18,9
2011,WEST BENGAL,Darjiling,Rabha,Hindu,37,26,11,13,9,4,24,17,7
2011,WEST BENGAL,Darjiling,Rabha,Christian,7,3,4,4,2,2,3,1,2
2011,WEST BENGAL,Darjiling,Santal,All religions,"18,729","9,277","9,452","17,997","8,918","9,079",732,359,373
2011,WEST BENGAL,Darjiling,Santal,Hindu,"15,504","7,704","7,800","15,045","7,475","7,570",459,229,230
2011,WEST BENGAL,Darjiling,Santal,Muslim,51,21,30,50,21,29,1,0,1
2011,WEST BENGAL,Darjiling,Santal,Christian,"2,971","1,450","1,521","2,702","1,320","1,382",269,130,139
2011,WEST BENGAL,Darjiling,Santal,Sikh,9,5,4,9,5,4,0,0,0
2011,WEST BENGAL,Darjiling,Santal,Buddhist,94,45,49,91,45,46,3,0,3
2011,WEST BENGAL,Darjiling,Santal,Jain,4,3,1,4,3,1,0,0,0
2011,WEST BENGAL,Darjiling,Santal,Other religions and persuasions,95,49,46,95,49,46,0,0,0
2011,WEST BENGAL,Darjiling,Santal,Religion not stated,1,0,1,1,0,1,0,0,0
2011,WEST BENGAL,Darjiling,Sauria Paharia,All religions,546,273,273,539,272,267,7,1,6
2011,WEST BENGAL,Darjiling,Sauria Paharia,Hindu,459,228,231,454,227,227,5,1,4
2011,WEST BENGAL,Darjiling,Sauria Paharia,Christian,84,45,39,84,45,39,0,0,0
2011,WEST BENGAL,Darjiling,Sauria Paharia,Buddhist,1,0,1,0,0,0,1,0,1
2011,WEST BENGAL,Darjiling,Sauria Paharia,Jain,1,0,1,1,0,1,0,0,0
2011,WEST BENGAL,Darjiling,Sauria Paharia,Religion not stated,1,0,1,0,0,0,1,0,1
2011,WEST BENGAL,Darjiling,Savar,All religions,612,307,305,600,302,298,12,5,7
2011,WEST BENGAL,Darjiling,Savar,Hindu,548,275,273,536,270,266,12,5,7
2011,WEST BENGAL,Darjiling,Savar,Christian,57,29,28,57,29,28,0,0,0
2011,WEST BENGAL,Darjiling,Savar,Other religions and persuasions,7,3,4,7,3,4,0,0,0
2011,WEST BENGAL,Darjiling,Limbu (Subba),All religions,"41,284","20,527","20,757","32,733","16,387","16,346","8,551","4,140","4,411"
2011,WEST BENGAL,Darjiling,Limbu (Subba),Hindu,"30,968","15,346","15,622","24,538","12,252","12,286","6,430","3,094","3,336"
2011,WEST BENGAL,Darjiling,Limbu (Subba),Muslim,56,24,32,42,19,23,14,5,9
2011,WEST BENGAL,Darjiling,Limbu (Subba),Christian,"3,428","1,733","1,695","2,697","1,376","1,321",731,357,374
2011,WEST BENGAL,Darjiling,Limbu (Subba),Sikh,10,6,4,8,5,3,2,1,1
2011,WEST BENGAL,Darjiling,Limbu (Subba),Buddhist,867,400,467,533,243,290,334,157,177
2011,WEST BENGAL,Darjiling,Limbu (Subba),Jain,9,7,2,8,6,2,1,1,0
2011,WEST BENGAL,Darjiling,Limbu (Subba),Other religions and persuasions,"5,839","2,963","2,876","4,813","2,442","2,371","1,026",521,505
2011,WEST BENGAL,Darjiling,Limbu (Subba),Religion not stated,107,48,59,94,44,50,13,4,9
2011,WEST BENGAL,Darjiling,Tamang,All religions,"113,318","56,161","57,157","79,336","39,624","39,712","33,982","16,537","17,445"
2011,WEST BENGAL,Darjiling,Tamang,Hindu,"4,496","1,986","2,510","3,174","1,376","1,798","1,322",610,712
2011,WEST BENGAL,Darjiling,Tamang,Muslim,191,88,103,101,47,54,90,41,49
2011,WEST BENGAL,Darjiling,Tamang,Christian,"5,926","2,920","3,006","4,157","2,082","2,075","1,769",838,931
2011,WEST BENGAL,Darjiling,Tamang,Sikh,19,6,13,15,5,10,4,1,3
2011,WEST BENGAL,Darjiling,Tamang,Buddhist,"102,384","51,006","51,378","71,700","36,018","35,682","30,684","14,988","15,696"
2011,WEST BENGAL,Darjiling,Tamang,Jain,200,115,85,107,65,42,93,50,43
2011,WEST BENGAL,Darjiling,Tamang,Other religions and persuasions,30,11,19,25,8,17,5,3,2
2011,WEST BENGAL,Darjiling,Tamang,Religion not stated,72,29,43,57,23,34,15,6,9
2011,WEST BENGAL,Darjiling,Generic Tribes etc.,All religions,"24,188","12,074","12,114","21,130","10,584","10,546","3,058","1,490","1,568"
2011,WEST BENGAL,Darjiling,Generic Tribes etc.,Hindu,"11,056","5,550","5,506","9,909","4,988","4,921","1,147",562,585
2011,WEST BENGAL,Darjiling,Generic Tribes etc.,Muslim,190,102,88,139,79,60,51,23,28
2011,WEST BENGAL,Darjiling,Generic Tribes etc.,Christian,"4,919","2,405","2,514","4,612","2,253","2,359",307,152,155
2011,WEST BENGAL,Darjiling,Generic Tribes etc.,Sikh,11,6,5,9,4,5,2,2,0
2011,WEST BENGAL,Darjiling,Generic Tribes etc.,Buddhist,"7,579","3,801","3,778","6,043","3,059","2,984","1,536",742,794
2011,WEST BENGAL,Darjiling,Generic Tribes etc.,Jain,23,10,13,14,5,9,9,5,4
2011,WEST BENGAL,Darjiling,Generic Tribes etc.,Other religions and persuasions,346,168,178,345,167,178,1,1,0
2011,WEST BENGAL,Darjiling,Generic Tribes etc.,Religion not stated,64,32,32,59,29,30,5,3,2
2011,WEST BENGAL,Jalpaiguri,All Scheduled Tribes,All religions,"731,704","365,868","365,836","690,312","345,035","345,277","41,392","20,833","20,559"
2011,WEST BENGAL,Jalpaiguri,All Scheduled Tribes,Hindu,"507,301","255,018","252,283","481,545","242,005","239,540","25,756","13,013","12,743"
2011,WEST BENGAL,Jalpaiguri,All Scheduled Tribes,Muslim,"1,616",816,800,"1,476",750,726,140,66,74
2011,WEST BENGAL,Jalpaiguri,All Scheduled Tribes,Christian,"159,768","78,653","81,115","151,271","74,415","76,856","8,497","4,238","4,259"
2011,WEST BENGAL,Jalpaiguri,All Scheduled Tribes,Sikh,139,82,57,113,69,44,26,13,13
2011,WEST BENGAL,Jalpaiguri,All Scheduled Tribes,Buddhist,"40,902","20,358","20,544","34,070","16,927","17,143","6,832","3,431","3,401"
2011,WEST BENGAL,Jalpaiguri,All Scheduled Tribes,Jain,184,92,92,156,77,79,28,15,13
2011,WEST BENGAL,Jalpaiguri,All Scheduled Tribes,Other religions and persuasions,"21,009","10,485","10,524","20,947","10,451","10,496",62,34,28
2011,WEST BENGAL,Jalpaiguri,All Scheduled Tribes,Religion not stated,785,364,421,734,341,393,51,23,28
2011,WEST BENGAL,Jalpaiguri,Asur,All religions,"2,968","1,453","1,515","2,746","1,347","1,399",222,106,116
2011,WEST BENGAL,Jalpaiguri,Asur,Hindu,"2,330","1,150","1,180","2,153","1,065","1,088",177,85,92
2011,WEST BENGAL,Jalpaiguri,Asur,Muslim,2,1,1,2,1,1,0,0,0
2011,WEST BENGAL,Jalpaiguri,Asur,Christian,550,264,286,505,243,262,45,21,24
2011,WEST BENGAL,Jalpaiguri,Asur,Buddhist,1,1,0,1,1,0,0,0,0
2011,WEST BENGAL,Jalpaiguri,Asur,Other religions and persuasions,84,37,47,84,37,47,0,0,0
2011,WEST BENGAL,Jalpaiguri,Asur,Religion not stated,1,0,1,1,0,1,0,0,0
2011,WEST BENGAL,Jalpaiguri,Baiga,All religions,42,20,22,33,15,18,9,5,4
2011,WEST BENGAL,Jalpaiguri,Baiga,Hindu,35,16,19,26,11,15,9,5,4
2011,WEST BENGAL,Jalpaiguri,Baiga,Christian,5,3,2,5,3,2,0,0,0
2011,WEST BENGAL,Jalpaiguri,Baiga,Buddhist,2,1,1,2,1,1,0,0,0
2011,WEST BENGAL,Jalpaiguri,"Bedia,  Bediya",All religions,"1,037",558,479,995,530,465,42,28,14
2011,WEST BENGAL,Jalpaiguri,"Bedia,  Bediya",Hindu,999,534,465,963,510,453,36,24,12
2011,WEST BENGAL,Jalpaiguri,"Bedia,  Bediya",Muslim,4,4,0,2,2,0,2,2,0
2011,WEST BENGAL,Jalpaiguri,"Bedia,  Bediya",Christian,14,9,5,10,7,3,4,2,2
2011,WEST BENGAL,Jalpaiguri,"Bedia,  Bediya",Religion not stated,20,11,9,20,11,9,0,0,0
2011,WEST BENGAL,Jalpaiguri,Bhumij,All religions,"1,860",918,942,"1,807",884,923,53,34,19
2011,WEST BENGAL,Jalpaiguri,Bhumij,Hindu,"1,747",858,889,"1,715",837,878,32,21,11
2011,WEST BENGAL,Jalpaiguri,Bhumij,Muslim,6,3,3,6,3,3,0,0,0
2011,WEST BENGAL,Jalpaiguri,Bhumij,Christian,100,52,48,80,40,40,20,12,8
2011,WEST BENGAL,Jalpaiguri,Bhumij,Buddhist,1,1,0,0,0,0,1,1,0
