Year,State,District,ST Name,Religion,Persons,Male,Female,Persons (Rural),Male (Rural),Female (Rural),Persons (Urban),Male (Urban),Female (Urban)
"2,001",WEST BENGAL,Darjiling,Khond,All religions,1,1,0,0,0,0,1,1,0
"2,001",WEST BENGAL,Darjiling,Khond,Hindu,1,1,0,0,0,0,1,1,0
"2,001",WEST BENGAL,Darjiling,Kisan,All religions,"1,687",833,854,"1,677",828,849,10,5,5
"2,001",WEST BENGAL,Darjiling,Kisan,Hindu,"1,614",792,822,"1,604",787,817,10,5,5
"2,001",WEST BENGAL,Darjiling,Kisan,Christian,56,28,28,56,28,28,0,0,0
"2,001",WEST BENGAL,Darjiling,Kisan,Buddhist,17,13,4,17,13,4,0,0,0
"2,001",WEST BENGAL,Darjiling,Kora,All religions,51,27,24,50,27,23,1,0,1
"2,001",WEST BENGAL,Darjiling,Kora,Hindu,39,19,20,38,19,19,1,0,1
"2,001",WEST BENGAL,Darjiling,Kora,Christian,12,8,4,12,8,4,0,0,0
"2,001",WEST BENGAL,Darjiling,Korwa,All religions,576,293,283,569,289,280,7,4,3
"2,001",WEST BENGAL,Darjiling,Korwa,Hindu,513,256,257,506,252,254,7,4,3
"2,001",WEST BENGAL,Darjiling,Korwa,Muslim,3,2,1,3,2,1,0,0,0
"2,001",WEST BENGAL,Darjiling,Korwa,Christian,59,34,25,59,34,25,0,0,0
"2,001",WEST BENGAL,Darjiling,Korwa,Buddhist,1,1,0,1,1,0,0,0,0
"2,001",WEST BENGAL,Darjiling,Lepcha,All religions,"31,210","15,723","15,487","27,685","14,068","13,617","3,525","1,655","1,870"
"2,001",WEST BENGAL,Darjiling,Lepcha,Hindu,"1,714",821,893,"1,342",648,694,372,173,199
"2,001",WEST BENGAL,Darjiling,Lepcha,Muslim,163,83,80,128,68,60,35,15,20
"2,001",WEST BENGAL,Darjiling,Lepcha,Christian,"13,281","6,622","6,659","11,539","5,850","5,689","1,742",772,970
"2,001",WEST BENGAL,Darjiling,Lepcha,Sikh,7,3,4,2,0,2,5,3,2
"2,001",WEST BENGAL,Darjiling,Lepcha,Buddhist,"16,018","8,182","7,836","14,649","7,492","7,157","1,369",690,679
"2,001",WEST BENGAL,Darjiling,Lepcha,Jain,5,2,3,5,2,3,0,0,0
"2,001",WEST BENGAL,Darjiling,Lepcha,Other religions and persuasions,11,4,7,10,3,7,1,1,0
"2,001",WEST BENGAL,Darjiling,Lepcha,Religion not stated,11,6,5,10,5,5,1,1,0
"2,001",WEST BENGAL,Darjiling,Lodha etc.,All religions,"2,001","1,013",988,"1,959",992,967,42,21,21
"2,001",WEST BENGAL,Darjiling,Lodha etc.,Hindu,779,415,364,771,411,360,8,4,4
"2,001",WEST BENGAL,Darjiling,Lodha etc.,Muslim,32,13,19,32,13,19,0,0,0
"2,001",WEST BENGAL,Darjiling,Lodha etc.,Christian,"1,179",576,603,"1,149",561,588,30,15,15
"2,001",WEST BENGAL,Darjiling,Lodha etc.,Buddhist,11,9,2,7,7,0,4,2,2
"2,001",WEST BENGAL,Darjiling,Lohara etc.,All religions,"2,970","1,485","1,485","1,188",608,580,"1,782",877,905
"2,001",WEST BENGAL,Darjiling,Lohara etc.,Hindu,"1,582",813,769,788,407,381,794,406,388
"2,001",WEST BENGAL,Darjiling,Lohara etc.,Muslim,18,9,9,4,2,2,14,7,7
"2,001",WEST BENGAL,Darjiling,Lohara etc.,Christian,591,286,305,382,192,190,209,94,115
"2,001",WEST BENGAL,Darjiling,Lohara etc.,Buddhist,768,371,397,14,7,7,754,364,390
"2,001",WEST BENGAL,Darjiling,Lohara etc.,Other religions and persuasions,9,5,4,0,0,0,9,5,4
"2,001",WEST BENGAL,Darjiling,Lohara etc.,Religion not stated,2,1,1,0,0,0,2,1,1
"2,001",WEST BENGAL,Darjiling,Magh,All religions,198,95,103,57,24,33,141,71,70
"2,001",WEST BENGAL,Darjiling,Magh,Hindu,67,31,36,49,21,28,18,10,8
"2,001",WEST BENGAL,Darjiling,Magh,Christian,5,3,2,0,0,0,5,3,2
"2,001",WEST BENGAL,Darjiling,Magh,Buddhist,126,61,65,8,3,5,118,58,60
"2,001",WEST BENGAL,Darjiling,Mahali,All religions,"1,146",595,551,"1,014",530,484,132,65,67
"2,001",WEST BENGAL,Darjiling,Mahali,Hindu,"1,093",564,529,966,501,465,127,63,64
"2,001",WEST BENGAL,Darjiling,Mahali,Muslim,2,0,2,2,0,2,0,0,0
"2,001",WEST BENGAL,Darjiling,Mahali,Christian,47,29,18,43,27,16,4,2,2
"2,001",WEST BENGAL,Darjiling,Mahali,Buddhist,1,0,1,0,0,0,1,0,1
"2,001",WEST BENGAL,Darjiling,Mahali,Other religions and persuasions,3,2,1,3,2,1,0,0,0
"2,001",WEST BENGAL,Darjiling,Mahli,All religions,40,18,22,40,18,22,0,0,0
"2,001",WEST BENGAL,Darjiling,Mahli,Hindu,38,17,21,38,17,21,0,0,0
"2,001",WEST BENGAL,Darjiling,Mahli,Christian,2,1,1,2,1,1,0,0,0
"2,001",WEST BENGAL,Darjiling,Mal Pahariya,All religions,"1,957",963,994,"1,905",936,969,52,27,25
"2,001",WEST BENGAL,Darjiling,Mal Pahariya,Hindu,"1,920",944,976,"1,869",918,951,51,26,25
"2,001",WEST BENGAL,Darjiling,Mal Pahariya,Muslim,5,2,3,5,2,3,0,0,0
"2,001",WEST BENGAL,Darjiling,Mal Pahariya,Christian,31,16,15,31,16,15,0,0,0
"2,001",WEST BENGAL,Darjiling,Mal Pahariya,Buddhist,1,1,0,0,0,0,1,1,0
"2,001",WEST BENGAL,Darjiling,Mech,All religions,"2,159","1,136","1,023","2,127","1,118","1,009",32,18,14
"2,001",WEST BENGAL,Darjiling,Mech,Hindu,"2,107","1,111",996,"2,080","1,095",985,27,16,11
"2,001",WEST BENGAL,Darjiling,Mech,Muslim,1,1,0,1,1,0,0,0,0
"2,001",WEST BENGAL,Darjiling,Mech,Christian,50,23,27,45,21,24,5,2,3
"2,001",WEST BENGAL,Darjiling,Mech,Buddhist,1,1,0,1,1,0,0,0,0
"2,001",WEST BENGAL,Darjiling,Mru,All religions,1,0,1,1,0,1,0,0,0
"2,001",WEST BENGAL,Darjiling,Mru,Hindu,1,0,1,1,0,1,0,0,0
"2,001",WEST BENGAL,Darjiling,Munda,All religions,"17,189","8,663","8,526","16,905","8,530","8,375",284,133,151
"2,001",WEST BENGAL,Darjiling,Munda,Hindu,"13,455","6,806","6,649","13,272","6,721","6,551",183,85,98
"2,001",WEST BENGAL,Darjiling,Munda,Muslim,77,41,36,75,41,34,2,0,2
"2,001",WEST BENGAL,Darjiling,Munda,Christian,"3,587","1,786","1,801","3,488","1,738","1,750",99,48,51
"2,001",WEST BENGAL,Darjiling,Munda,Buddhist,20,7,13,20,7,13,0,0,0
"2,001",WEST BENGAL,Darjiling,Munda,Other religions and persuasions,35,16,19,35,16,19,0,0,0
"2,001",WEST BENGAL,Darjiling,Munda,Religion not stated,15,7,8,15,7,8,0,0,0
"2,001",WEST BENGAL,Darjiling,Nagesia,All religions,"3,589","1,791","1,798","3,579","1,785","1,794",10,6,4
"2,001",WEST BENGAL,Darjiling,Nagesia,Hindu,"3,516","1,752","1,764","3,507","1,747","1,760",9,5,4
"2,001",WEST BENGAL,Darjiling,Nagesia,Muslim,3,2,1,3,2,1,0,0,0
"2,001",WEST BENGAL,Darjiling,Nagesia,Christian,61,32,29,60,31,29,1,1,0
"2,001",WEST BENGAL,Darjiling,Nagesia,Buddhist,9,5,4,9,5,4,0,0,0
"2,001",WEST BENGAL,Darjiling,Oraon,All religions,"66,978","33,448","33,530","65,689","32,831","32,858","1,289",617,672
"2,001",WEST BENGAL,Darjiling,Oraon,Hindu,"34,833","17,499","17,334","34,112","17,153","16,959",721,346,375
"2,001",WEST BENGAL,Darjiling,Oraon,Muslim,581,304,277,558,292,266,23,12,11
"2,001",WEST BENGAL,Darjiling,Oraon,Christian,"31,343","15,547","15,796","30,799","15,289","15,510",544,258,286
"2,001",WEST BENGAL,Darjiling,Oraon,Sikh,2,1,1,2,1,1,0,0,0
"2,001",WEST BENGAL,Darjiling,Oraon,Buddhist,180,81,99,179,80,99,1,1,0
"2,001",WEST BENGAL,Darjiling,Oraon,Other religions and persuasions,25,13,12,25,13,12,0,0,0
"2,001",WEST BENGAL,Darjiling,Oraon,Religion not stated,14,3,11,14,3,11,0,0,0
"2,001",WEST BENGAL,Darjiling,Parhaiya,All religions,38,17,21,4,3,1,34,14,20
"2,001",WEST BENGAL,Darjiling,Parhaiya,Hindu,30,15,15,4,3,1,26,12,14
"2,001",WEST BENGAL,Darjiling,Parhaiya,Christian,5,2,3,0,0,0,5,2,3
"2,001",WEST BENGAL,Darjiling,Parhaiya,Buddhist,3,0,3,0,0,0,3,0,3
"2,001",WEST BENGAL,Darjiling,Rabha,All religions,5,2,3,2,1,1,3,1,2
"2,001",WEST BENGAL,Darjiling,Rabha,Hindu,5,2,3,2,1,1,3,1,2
"2,001",WEST BENGAL,Darjiling,Santal,All religions,"14,709","7,387","7,322","14,378","7,224","7,154",331,163,168
"2,001",WEST BENGAL,Darjiling,Santal,Hindu,"11,617","5,837","5,780","11,417","5,728","5,689",200,109,91
"2,001",WEST BENGAL,Darjiling,Santal,Muslim,117,53,64,113,50,63,4,3,1
"2,001",WEST BENGAL,Darjiling,Santal,Christian,"1,210",604,606,"1,125",572,553,85,32,53
"2,001",WEST BENGAL,Darjiling,Santal,Sikh,3,1,2,3,1,2,0,0,0
"2,001",WEST BENGAL,Darjiling,Santal,Buddhist,19,11,8,12,7,5,7,4,3
"2,001",WEST BENGAL,Darjiling,Santal,Other religions and persuasions,"1,735",876,859,"1,700",861,839,35,15,20
"2,001",WEST BENGAL,Darjiling,Santal,Religion not stated,8,5,3,8,5,3,0,0,0
"2,001",WEST BENGAL,Darjiling,Sauria Paharia,All religions,604,297,307,580,288,292,24,9,15
"2,001",WEST BENGAL,Darjiling,Sauria Paharia,Hindu,528,259,269,527,259,268,1,0,1
"2,001",WEST BENGAL,Darjiling,Sauria Paharia,Christian,53,29,24,53,29,24,0,0,0
"2,001",WEST BENGAL,Darjiling,Sauria Paharia,Buddhist,23,9,14,0,0,0,23,9,14
"2,001",WEST BENGAL,Darjiling,Savar,All religions,891,443,448,881,437,444,10,6,4
"2,001",WEST BENGAL,Darjiling,Savar,Hindu,860,426,434,851,421,430,9,5,4
"2,001",WEST BENGAL,Darjiling,Savar,Muslim,3,2,1,3,2,1,0,0,0
"2,001",WEST BENGAL,Darjiling,Savar,Christian,27,15,12,26,14,12,1,1,0
"2,001",WEST BENGAL,Darjiling,Savar,Buddhist,1,0,1,1,0,1,0,0,0
"2,001",WEST BENGAL,Darjiling,Generic Tribes etc.,All religions,"4,649","2,377","2,272","4,497","2,303","2,194",152,74,78
"2,001",WEST BENGAL,Darjiling,Generic Tribes etc.,Hindu,"3,002","1,533","1,469","2,931","1,496","1,435",71,37,34
"2,001",WEST BENGAL,Darjiling,Generic Tribes etc.,Muslim,19,9,10,19,9,10,0,0,0
"2,001",WEST BENGAL,Darjiling,Generic Tribes etc.,Christian,953,476,477,944,474,470,9,2,7
"2,001",WEST BENGAL,Darjiling,Generic Tribes etc.,Buddhist,654,347,307,582,312,270,72,35,37
"2,001",WEST BENGAL,Darjiling,Generic Tribes etc.,Other religions and persuasions,16,10,6,16,10,6,0,0,0
"2,001",WEST BENGAL,Darjiling,Generic Tribes etc.,Religion not stated,5,2,3,5,2,3,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,All Scheduled Tribes,All religions,"641,688","324,250","317,438","625,585","315,895","309,690","16,103","8,355","7,748"
"2,001",WEST BENGAL,Jalpaiguri,All Scheduled Tribes,Hindu,"492,399","249,926","242,473","482,883","244,948","237,935","9,516","4,978","4,538"
"2,001",WEST BENGAL,Jalpaiguri,All Scheduled Tribes,Muslim,"4,222","2,115","2,107","3,919","1,958","1,961",303,157,146
"2,001",WEST BENGAL,Jalpaiguri,All Scheduled Tribes,Christian,"128,043","63,731","64,312","124,953","62,119","62,834","3,090","1,612","1,478"
"2,001",WEST BENGAL,Jalpaiguri,All Scheduled Tribes,Sikh,65,32,33,59,30,29,6,2,4
"2,001",WEST BENGAL,Jalpaiguri,All Scheduled Tribes,Buddhist,"14,665","7,335","7,330","11,587","5,781","5,806","3,078","1,554","1,524"
"2,001",WEST BENGAL,Jalpaiguri,All Scheduled Tribes,Jain,196,96,100,195,95,100,1,1,0
"2,001",WEST BENGAL,Jalpaiguri,All Scheduled Tribes,Other religions and persuasions,"1,803",866,937,"1,702",818,884,101,48,53
"2,001",WEST BENGAL,Jalpaiguri,All Scheduled Tribes,Religion not stated,295,149,146,287,146,141,8,3,5
"2,001",WEST BENGAL,Jalpaiguri,Asur,All religions,"3,033","1,483","1,550","2,985","1,459","1,526",48,24,24
"2,001",WEST BENGAL,Jalpaiguri,Asur,Hindu,"2,894","1,411","1,483","2,846","1,387","1,459",48,24,24
"2,001",WEST BENGAL,Jalpaiguri,Asur,Muslim,6,3,3,6,3,3,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Asur,Christian,132,69,63,132,69,63,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Asur,Buddhist,1,0,1,1,0,1,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Baiga,All religions,56,29,27,56,29,27,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Baiga,Hindu,46,25,21,46,25,21,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Baiga,Muslim,1,0,1,1,0,1,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Baiga,Christian,9,4,5,9,4,5,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Bedia etc.,All religions,346,189,157,334,183,151,12,6,6
"2,001",WEST BENGAL,Jalpaiguri,Bedia etc.,Hindu,345,189,156,333,183,150,12,6,6
"2,001",WEST BENGAL,Jalpaiguri,Bedia etc.,Christian,1,0,1,1,0,1,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Bhumij,All religions,"1,819",901,918,"1,818",900,918,1,1,0
"2,001",WEST BENGAL,Jalpaiguri,Bhumij,Hindu,"1,765",873,892,"1,764",872,892,1,1,0
"2,001",WEST BENGAL,Jalpaiguri,Bhumij,Muslim,9,6,3,9,6,3,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Bhumij,Christian,42,21,21,42,21,21,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Bhumij,Buddhist,3,1,2,3,1,2,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Bhutia etc.,All religions,"13,777","6,914","6,863","11,038","5,547","5,491","2,739","1,367","1,372"
"2,001",WEST BENGAL,Jalpaiguri,Bhutia etc.,Hindu,"2,897","1,496","1,401","2,528","1,306","1,222",369,190,179
"2,001",WEST BENGAL,Jalpaiguri,Bhutia etc.,Muslim,26,10,16,26,10,16,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Bhutia etc.,Christian,554,265,289,461,225,236,93,40,53
"2,001",WEST BENGAL,Jalpaiguri,Bhutia etc.,Sikh,1,0,1,0,0,0,1,0,1
"2,001",WEST BENGAL,Jalpaiguri,Bhutia etc.,Buddhist,"10,258","5,125","5,133","7,982","3,988","3,994","2,276","1,137","1,139"
"2,001",WEST BENGAL,Jalpaiguri,Bhutia etc.,Jain,2,1,1,2,1,1,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Bhutia etc.,Other religions and persuasions,31,13,18,31,13,18,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Bhutia etc.,Religion not stated,8,4,4,8,4,4,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Birhor,All religions,35,14,21,34,14,20,1,0,1
"2,001",WEST BENGAL,Jalpaiguri,Birhor,Hindu,35,14,21,34,14,20,1,0,1
"2,001",WEST BENGAL,Jalpaiguri,Birjia,All religions,262,128,134,261,127,134,1,1,0
"2,001",WEST BENGAL,Jalpaiguri,Birjia,Hindu,241,119,122,240,118,122,1,1,0
"2,001",WEST BENGAL,Jalpaiguri,Birjia,Muslim,1,1,0,1,1,0,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Birjia,Christian,12,4,8,12,4,8,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Birjia,Buddhist,8,4,4,8,4,4,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Chakma,All religions,72,37,35,14,7,7,58,30,28
"2,001",WEST BENGAL,Jalpaiguri,Chakma,Hindu,57,30,27,7,2,5,50,28,22
"2,001",WEST BENGAL,Jalpaiguri,Chakma,Buddhist,15,7,8,7,5,2,8,2,6
"2,001",WEST BENGAL,Jalpaiguri,Chero,All religions,450,221,229,431,212,219,19,9,10
"2,001",WEST BENGAL,Jalpaiguri,Chero,Hindu,424,211,213,405,202,203,19,9,10
"2,001",WEST BENGAL,Jalpaiguri,Chero,Christian,25,10,15,25,10,15,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Chero,Sikh,1,0,1,1,0,1,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Chik Baraik,All religions,"12,260","6,126","6,134","12,142","6,063","6,079",118,63,55
"2,001",WEST BENGAL,Jalpaiguri,Chik Baraik,Hindu,"12,013","6,012","6,001","11,895","5,949","5,946",118,63,55
"2,001",WEST BENGAL,Jalpaiguri,Chik Baraik,Muslim,15,7,8,15,7,8,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Chik Baraik,Christian,182,86,96,182,86,96,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Chik Baraik,Sikh,1,0,1,1,0,1,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Chik Baraik,Buddhist,10,4,6,10,4,6,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Chik Baraik,Jain,5,2,3,5,2,3,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Chik Baraik,Other religions and persuasions,27,10,17,27,10,17,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Chik Baraik,Religion not stated,7,5,2,7,5,2,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Garo,All religions,895,427,468,864,415,449,31,12,19
"2,001",WEST BENGAL,Jalpaiguri,Garo,Hindu,82,43,39,73,38,35,9,5,4
"2,001",WEST BENGAL,Jalpaiguri,Garo,Muslim,6,2,4,6,2,4,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Garo,Christian,782,371,411,760,364,396,22,7,15
"2,001",WEST BENGAL,Jalpaiguri,Garo,Buddhist,7,3,4,7,3,4,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Garo,Religion not stated,18,8,10,18,8,10,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Gond,All religions,"1,375",724,651,"1,350",709,641,25,15,10
"2,001",WEST BENGAL,Jalpaiguri,Gond,Hindu,"1,340",707,633,"1,315",692,623,25,15,10
"2,001",WEST BENGAL,Jalpaiguri,Gond,Christian,15,7,8,15,7,8,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Gond,Buddhist,1,0,1,1,0,1,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Gond,Other religions and persuasions,19,10,9,19,10,9,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Gorait,All religions,55,28,27,55,28,27,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Gorait,Hindu,55,28,27,55,28,27,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Hajang,All religions,160,91,69,105,62,43,55,29,26
"2,001",WEST BENGAL,Jalpaiguri,Hajang,Hindu,160,91,69,105,62,43,55,29,26
"2,001",WEST BENGAL,Jalpaiguri,Ho,All religions,899,429,470,884,422,462,15,7,8
"2,001",WEST BENGAL,Jalpaiguri,Ho,Hindu,873,416,457,858,409,449,15,7,8
"2,001",WEST BENGAL,Jalpaiguri,Ho,Muslim,7,4,3,7,4,3,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Ho,Christian,19,9,10,19,9,10,0,0,0
"2,001",WEST BENGAL,Jalpaiguri,Karmali,All religions,19,11,8,17,9,8,2,2,0
